### UNIT A — grant 유효성 (경계초 정합 + is_active 비의존)  [run1]
# REAL grant_status/is_valid_now 사용 | active_predicate=_active_grants 복제
# NOW=2026-07-21T12:00:00  (고정 → 결정론)
# 검사: c1 status정확 · c2 is_valid_now==ACTIVE · c3 active_predicate⟺ACTIVE(★핵심) · c4 is_active비의존

[PASS] live    from-past   until-NULL   isact=T  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1
[PASS] live    from-past   until-NULL   isact=F  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1
[PASS] live    from-past   until-past   isact=T  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1
[PASS] live    from-past   until-past   isact=F  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1
[PASS] live    from-past   until-NOW    isact=T  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-past   until-NOW    isact=F  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-past   until-future isact=T  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1
[PASS] live    from-past   until-future isact=F  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1
[PASS] live    from-NOW    until-NULL   isact=T  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-NULL   isact=F  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-past   isact=T  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-past   isact=F  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-NOW    isact=T  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-NOW    isact=F  | status=EXPIRED valid=False is_valid_now=False | exp=EXPIRED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-future isact=T  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-NOW    until-future isact=F  | status=ACTIVE  valid=True  is_valid_now=True  | exp=ACTIVE  c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-future until-NULL   isact=T  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] live    from-future until-NULL   isact=F  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] live    from-future until-past   isact=T  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] live    from-future until-past   isact=F  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] live    from-future until-NOW    isact=T  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-future until-NOW    isact=F  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] live    from-future until-future isact=T  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] live    from-future until-future isact=F  | status=PENDING valid=False is_valid_now=False | exp=PENDING c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-NULL   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-NULL   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-past   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-past   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-NOW    isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-past   until-NOW    isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-past   until-future isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-past   until-future isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-NOW    until-NULL   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-NULL   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-past   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-past   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-NOW    isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-NOW    isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-future isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-NOW    until-future isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-future until-NULL   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-future until-NULL   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-future until-past   isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-future until-past   isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-future until-NOW    isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-future until-NOW    isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1  <<경계
[PASS] revoked from-future until-future isact=T  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1
[PASS] revoked from-future until-future isact=F  | status=REVOKED valid=False is_valid_now=False | exp=REVOKED c1=1 c2=1 c3=1 c4=1

# UNIT A 요약: 48/48 PASS
